day,hour,C32004,M32032,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,S32002,S32003,B32020,S32006,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,A32019,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,M32020,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,M32025,E32004,E32005,E32006,E32001,E32002,E32003,M32038,D32003,M32023,D32001,D32000,M32026,M32027,M32024,D32004,D32009,D32008,C32020,C32021,C32022,C32023,M32031,M32030,B32018,B32019,M32034,M32037,B32012,B32013,B32010,B32011,B32016,B32017,B32014,B32015,S32001,K32002,K32003,K32001,K32004,B32008,M32009,B32000,M32006,M32007,B32005,M32001,M32002,M32003,M32029,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,M32005,B32003,B32002,B32004,B32007,B32006,C32014,total
0,0,1,1,0,0,0,5,2,3,0,0,1,0,0,1,0,1,1,4,0,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,4,1,0,1,7,0,0,1,4,0,0,0,0,2,0,0,2,0,0,0,1,1,0,2,1,0,0,0,0,0,5,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,1,0,0,1,6,1,0,3,4,0,4,0,5,0,0,1,0,3,0,0,0,1,8,3,2,1,2,0,2,3,1,0,3,1,0,3,1,2,3,3,1,0,2,0,1,0,0,140
0,1,1,0,0,0,2,0,2,2,0,0,4,0,0,1,0,2,1,0,0,0,1,0,0,0,0,2,1,1,0,0,2,4,0,2,0,0,0,0,5,1,0,0,7,0,0,0,2,5,0,0,2,3,2,0,0,4,1,0,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,1,0,0,2,0,0,2,1,0,2,0,3,0,0,0,4,0,2,0,2,0,1,0,2,0,1,0,0,0,1,0,0,102
0,2,2,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,43
0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,15
0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,43
0,5,4,0,2,0,0,0,0,1,6,0,2,5,0,2,0,1,3,4,0,0,0,5,4,0,4,0,0,3,0,0,3,0,1,11,1,0,2,5,0,0,3,0,0,1,0,0,0,3,3,0,7,2,0,0,0,1,0,3,3,3,0,0,2,0,1,0,2,2,0,0,1,0,0,0,3,2,3,0,1,0,2,5,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,4,2,6,2,0,2,2,2,0,1,6,6,1,1,1,3,1,10,3,0,0,0,2,1,2,4,3,4,0,0,0,2,0,0,4,0,0,0,205
0,6,10,0,4,0,4,4,1,0,0,6,5,15,2,4,1,1,9,1,3,5,13,4,11,9,61,2,6,7,1,4,17,20,7,14,9,0,5,3,9,2,5,0,32,9,3,1,2,5,1,4,20,3,1,7,0,5,0,0,5,25,5,1,1,2,9,3,10,1,0,3,0,3,5,3,0,3,5,27,0,0,22,7,2,3,4,1,12,0,0,0,0,1,4,8,1,1,3,2,2,1,8,12,1,0,4,3,4,7,9,7,9,8,10,6,8,11,0,4,0,7,1,1,3,2,4,17,1,1,8,1,0,5,10,0,1,0,735
0,7,37,4,9,0,10,7,1,2,6,16,8,43,14,14,6,10,18,21,1,3,56,29,28,4,104,4,36,8,3,3,69,28,10,43,25,6,5,38,9,14,20,2,91,16,11,1,9,8,4,21,37,7,7,16,4,16,1,5,14,37,8,4,17,1,12,7,13,5,1,22,8,5,0,6,4,6,2,78,0,1,43,17,6,11,11,10,31,0,1,0,3,6,16,27,5,0,16,8,6,17,1,33,3,2,9,3,17,10,24,6,18,20,38,19,25,37,20,14,2,23,1,2,5,15,13,19,2,2,13,5,4,14,41,1,2,0,1976
0,8,24,10,22,3,12,26,9,2,9,35,14,26,17,32,14,14,15,20,11,19,36,52,26,15,141,13,32,7,16,38,72,28,16,57,34,15,11,24,34,27,32,5,135,31,13,4,5,17,13,28,47,28,19,20,3,27,6,10,18,35,17,12,25,3,36,12,25,2,6,28,3,20,14,21,11,15,6,48,5,1,48,23,15,3,20,28,77,1,5,1,1,18,27,17,4,0,24,18,8,41,15,49,7,24,21,11,25,23,37,31,47,38,27,29,30,39,32,28,11,39,5,14,24,43,49,46,9,4,41,6,5,18,71,6,3,0,3120
0,9,5,6,12,1,21,18,7,3,6,13,16,14,21,17,3,6,16,5,11,6,17,13,7,5,46,13,1,10,5,15,27,8,7,11,24,5,3,6,18,10,12,7,69,8,7,6,2,16,10,18,29,7,11,5,4,24,14,1,16,13,9,5,9,2,19,5,9,2,0,6,7,11,8,6,8,5,9,35,7,1,36,7,5,9,17,10,28,0,0,0,7,5,6,18,5,1,16,9,10,19,18,11,3,3,17,6,6,8,3,20,22,29,11,34,20,9,22,11,8,15,10,18,25,23,30,4,12,14,12,5,5,11,13,4,1,0,1571
