day,hour,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32002,B32012,C32010,B32010,B32011,B32016,B32018,B32014,B32015,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32009,D32013,B32009,B32013,D32009,D32003,B32008,D32001,D32000,D32007,D32006,D32005,D32004,B32000,B32003,B32002,B32005,B32004,B32007,B32006,B32017,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,C32008,C32009,A32012,A32011,A32010,D32008,total
0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24
0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,14
0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,9
0,4,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,5,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,5,0,0,1,0,0,0,0,17
0,6,0,1,0,3,8,1,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,1,0,0,3,2,1,0,0,0,13,1,0,1,0,6,0,0,0,0,0,1,2,3,1,6,0,4,4,1,8,0,5,0,3,0,0,0,18,3,108
0,7,1,1,3,2,5,1,1,0,3,0,4,3,4,0,0,2,0,0,0,4,0,1,0,0,1,12,0,0,0,7,48,3,0,7,7,8,7,7,3,0,7,2,5,3,0,0,1,15,9,7,5,3,3,0,0,1,4,0,17,18,245
0,8,2,0,10,5,6,18,0,7,0,1,2,9,8,2,4,6,1,1,2,5,1,3,3,3,3,15,6,7,3,12,73,6,0,8,7,22,12,8,11,0,6,14,9,9,3,3,2,18,9,11,39,4,11,0,0,2,13,0,63,7,515
0,9,3,0,0,2,4,7,4,2,4,0,5,3,7,3,4,4,0,2,2,2,0,1,0,0,2,11,2,1,2,0,36,3,0,8,5,5,2,7,3,1,7,4,3,6,0,1,2,3,0,1,9,3,5,1,3,2,8,0,14,3,222
0,10,0,3,4,2,3,4,4,0,1,2,7,0,1,4,0,5,0,1,2,1,0,1,0,0,0,3,0,0,1,0,4,4,0,1,2,0,2,6,2,1,2,4,3,1,0,3,2,3,4,0,2,5,3,0,3,3,5,0,4,1,119
0,11,5,0,4,2,0,5,5,0,0,1,2,0,2,2,0,6,1,2,1,3,1,1,0,0,0,2,7,0,0,2,4,0,0,3,4,3,6,3,0,0,1,6,5,2,0,1,2,8,3,1,6,2,2,0,6,0,5,0,5,1,133
0,12,3,2,6,8,6,3,3,0,1,2,7,7,2,1,5,6,1,1,1,3,6,3,1,6,0,7,5,0,1,3,8,9,0,2,5,8,6,4,1,6,1,6,1,2,3,1,3,6,2,0,4,8,3,0,4,1,0,0,8,2,204
0,13,3,4,4,6,1,5,5,0,3,7,6,4,1,4,3,6,1,1,0,1,2,0,1,2,0,3,2,2,1,0,3,9,0,3,4,6,10,5,9,5,1,2,6,6,6,0,1,5,7,1,1,9,1,1,4,0,1,2,11,3,200
0,14,5,1,2,5,0,3,3,0,1,1,3,3,4,1,4,2,0,3,1,3,2,4,0,0,1,4,5,1,1,1,1,8,0,2,8,1,7,8,3,6,1,2,1,1,2,4,2,7,5,1,8,7,1,4,6,2,1,1,2,0,166
