day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,D32000,D32007,M32027,C32011,C32010,C32013,C32012,C32015,C32014,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,D32003,M32023,M32020,M32021,M32026,D32006,D32005,M32025,D32009,M32029,M32024,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32009,B32008,M32009,M32005,B32003,B32002,B32005,M32001,M32002,B32006,B32013,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,A32017,B32000,M32006,M32007,B32004,B32007,M32003,total
0,0,0,0,0,1,3,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,3,0,0,1,0,0,5,2,2,0,4,1,0,2,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,1,4,1,0,0,6,1,0,0,2,81
0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,1,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,3,0,0,0,1,1,1,0,0,0,0,1,3,0,0,4,0,0,0,0,47
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,2,22
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,14
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8
0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,3,0,0,1,5,2,0,0,0,1,0,0,0,1,1,0,4,0,4,0,0,0,0,4,2,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,68
0,6,0,0,0,3,0,0,0,4,0,1,4,0,0,0,3,0,4,0,0,0,3,5,4,4,18,0,4,0,0,2,9,3,0,4,1,4,0,0,1,0,1,0,9,3,0,0,3,3,2,8,3,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,10,0,0,0,3,1,1,0,0,0,1,2,1,4,0,0,0,1,2,0,4,0,0,4,5,0,0,1,3,0,2,0,0,0,0,0,2,3,1,9,0,0,3,1,3,2,1,3,0,0,203
0,7,7,0,4,1,0,2,1,4,0,1,13,5,9,1,4,1,6,1,0,2,10,9,10,1,78,0,8,3,1,2,25,7,6,7,12,9,2,0,5,3,4,1,31,3,0,0,2,2,16,6,7,1,4,6,1,3,7,3,7,0,3,0,0,2,0,3,4,1,0,4,0,0,0,3,1,1,4,0,0,1,10,19,1,6,1,10,2,3,1,4,1,1,7,5,5,1,0,7,1,2,0,8,5,0,7,3,1,1,1,3,1,2,0,3,16,3,2,9,12,4,17,0,0,14,10,7,7,6,8,3,6,637
0,8,9,2,3,4,0,0,4,9,0,5,15,3,10,10,5,0,10,2,3,5,8,22,13,9,76,0,5,2,2,9,32,16,2,23,10,17,1,0,6,12,14,1,46,8,5,1,2,4,21,12,22,8,9,5,0,6,15,9,7,2,0,0,5,1,0,1,4,1,0,5,0,2,3,0,4,2,44,2,5,6,16,13,6,10,6,9,7,7,1,12,1,2,15,7,19,2,0,8,0,13,2,14,9,0,7,18,3,0,4,10,10,10,10,1,25,3,5,11,8,14,25,3,4,19,16,10,7,16,27,5,4,1100
0,9,12,2,2,4,1,0,0,10,0,1,9,9,11,7,4,1,6,3,2,7,11,9,9,1,32,0,6,1,0,7,17,7,4,4,0,3,1,1,11,2,4,2,16,6,2,1,5,9,7,5,13,1,3,2,1,6,7,1,0,0,3,2,1,0,0,3,5,1,1,5,0,0,1,1,0,1,14,0,3,4,18,8,6,6,1,14,5,10,5,11,1,4,21,10,12,4,0,5,1,0,5,7,4,0,11,11,2,3,9,12,6,17,1,0,11,8,8,13,7,8,25,3,6,19,6,9,18,10,18,1,0,753
