day,hour,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,84,85,86,87,88,89,90,91,93,94,95,96,97,98,99,100,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,128,129,130,131,133,134,135,136,137,138,139,140,141,142,143,145,149,150,151,152,total
0,0,0,0,1,3,5,3,0,2,0,1,0,0,0,0,3,0,1,0,1,2,2,1,0,0,0,2,0,0,6,7,0,1,0,0,1,0,4,2,0,1,10,0,0,0,2,2,0,1,2,3,8,0,0,2,2,3,1,0,2,0,1,6,5,1,0,2,0,1,8,4,1,0,1,1,3,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,2,2,0,0,1,0,0,1,1,0,3,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0,1,0,0,4,1,6,0,0,0,0,3,0,0,3,0,0,4,1,1,0,0,0,3,1,3,0,0,3,1,3,0,1,0,0,0,4,3,0,1,1,0,1,2,4,0,0,2,1,1,0,0,0,0,0,2,0,1,4,0,2,0,1,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,1,1,0,0,0,0,2,1,0,2,2,3,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,53
0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,5,0,0,3,0,2,0,0,0,0,0,5,0,1,0,0,0,0,3,1,1,0,0,5,6,1,0,0,0,2,0,0,0,0,0,4,4,2,0,0,0,0,4,4,0,1,0,0,0,3,0,1,0,1,6,3,2,0,0,0,0,5,1,1,0,0,0,2,0,2,0,2,0,1,1,0,1,0,2,0,0,1,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,99
0,6,0,2,9,2,3,0,1,0,0,0,1,0,0,1,18,0,0,14,5,26,3,0,8,11,2,0,0,7,1,10,0,8,0,7,12,7,1,3,3,0,2,7,11,1,3,0,3,4,8,4,1,2,8,3,1,1,8,0,4,0,5,3,3,1,0,4,5,0,2,2,4,1,4,0,0,5,0,6,3,3,7,4,1,1,0,8,6,2,1,2,2,0,3,3,1,2,0,0,0,49,2,4,0,1,1,4,1,0,1,3,7,2,2,1,2,1,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,2,1,1,0,1,428
0,7,0,0,15,3,19,0,5,3,0,3,9,5,1,0,28,1,5,18,6,51,10,2,23,26,4,0,4,2,4,5,5,19,1,58,22,34,10,5,17,4,1,13,24,2,6,6,5,9,24,6,6,1,13,14,5,24,6,2,5,0,15,9,14,18,0,8,4,3,3,9,20,2,7,2,7,9,2,3,6,10,15,4,6,7,0,22,6,8,3,19,6,7,10,10,3,7,1,8,1,66,2,0,3,10,15,26,12,1,8,7,11,17,3,1,4,5,1,0,3,0,1,0,8,0,0,0,0,7,6,0,1,6,3,2,6,0,6,1134
0,8,0,7,17,8,24,0,4,13,0,4,17,20,0,5,28,8,7,21,20,72,21,2,14,20,5,2,3,10,5,19,12,29,0,55,37,31,23,13,34,18,13,28,15,10,12,12,5,19,15,7,18,4,19,9,12,37,15,14,2,1,12,11,24,22,1,11,5,4,13,21,31,5,17,3,14,13,6,9,12,22,39,3,24,7,2,3,31,15,3,34,14,8,0,12,6,7,0,11,4,68,7,4,13,12,12,18,18,10,11,12,12,21,7,7,2,10,4,1,7,1,5,8,6,1,0,1,1,16,6,3,1,7,1,5,8,7,12,1719
