day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,D32002,D32021,D32020,D32023,D32022,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,A32017,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,C32011,C32010,C32013,C32015,D32005,D32003,M32023,M32020,D32000,D32007,D32006,M32024,D32004,D32009,D32008,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,K32002,K32003,K32001,B32009,B32008,M32009,M32005,B32003,M32007,B32005,B32004,M32002,B32006,B32013,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,B32002,M32001,B32007,M32003,C32014,total
0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,4,0,11,0,7,0,3,0,3,0,1,7,1,4,2,0,0,0,0,0,3,2,0,0,0,1,0,0,0,2,1,9,0,0,0,0,15,1,0,1,2,3,0,0,0,2,1,0,0,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,117
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,0,4,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,1,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42
0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,5,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,3,0,11,2,0,1,2,2,0,2,0,0,4,8,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,71
0,6,0,0,3,2,1,0,1,0,1,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,7,12,11,2,7,5,6,3,0,7,1,2,0,27,0,4,3,8,11,16,1,3,2,1,0,0,3,0,0,6,40,0,0,6,4,5,0,0,1,4,4,1,0,1,0,0,6,7,0,2,1,0,0,0,0,5,0,0,2,0,3,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,274
0,7,0,4,11,0,1,1,2,3,2,0,44,0,0,0,0,0,0,0,0,27,0,0,0,0,1,33,16,15,33,8,32,3,0,10,9,5,1,78,0,5,11,17,11,20,4,0,4,0,0,0,3,0,0,8,134,0,0,6,11,36,0,1,7,20,3,2,0,2,0,9,9,20,3,0,14,0,0,0,3,3,0,0,3,0,10,16,0,7,5,0,0,0,0,0,0,0,0,0,5,0,7,0,5,0,0,763
0,8,0,1,10,14,4,4,6,11,3,0,34,0,0,0,0,0,0,0,0,33,0,0,0,0,9,62,31,12,66,17,29,7,0,9,17,21,2,81,0,13,14,24,21,39,17,4,16,0,0,0,9,0,0,14,162,0,0,31,14,58,0,14,23,32,7,7,0,3,0,11,9,29,3,7,13,0,0,0,6,14,0,0,3,0,20,34,0,4,9,0,0,0,0,0,0,0,0,0,6,0,18,0,6,0,0,1197
0,9,0,4,5,10,3,2,3,1,3,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,7,20,13,6,24,18,8,2,0,4,9,16,1,52,0,9,12,21,6,12,13,5,8,4,0,0,5,0,0,16,57,0,0,15,7,11,0,15,6,19,4,0,0,4,0,15,14,8,2,4,8,0,0,0,3,7,0,0,2,0,13,21,0,2,4,0,0,0,0,0,0,0,0,0,15,0,15,0,12,0,0,618
0,10,0,4,2,15,3,2,6,8,1,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,6,11,16,3,4,6,2,1,0,8,2,11,0,15,0,15,10,9,6,3,11,5,7,2,0,0,5,0,0,21,26,0,0,4,15,10,0,8,2,5,1,0,0,0,0,14,11,3,2,4,6,0,0,0,0,9,0,0,4,0,8,8,0,8,4,0,0,0,0,0,0,0,0,0,8,0,1,0,3,0,0,404
