day,hour,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32002,B32012,C32010,B32010,B32011,B32016,B32018,B32014,B32015,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32009,D32013,B32009,B32013,D32009,D32003,B32008,D32001,D32000,D32007,D32006,D32005,D32004,B32000,B32003,B32002,B32005,B32004,B32007,B32006,B32017,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,C32008,C32009,A32012,A32011,A32010,D32008,total
0,0,4,3,0,0,3,3,0,0,0,0,1,1,0,1,0,3,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,3,0,0,9,0,7,0,2,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,5,61
0,1,2,0,0,0,2,2,0,0,1,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,2,0,5,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,1,42
0,2,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,1,1,2,0,0,0,6,0,0,2,42
0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,19
0,4,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,9
0,5,0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,20
0,6,0,3,1,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,5,1,0,1,0,11,2,0,6,0,4,7,0,4,0,1,2,1,0,1,6,1,4,6,0,2,0,5,0,0,0,0,1,9,3,97
0,7,2,1,0,0,6,1,1,0,2,0,2,4,3,2,0,2,0,0,0,1,0,2,0,1,4,16,0,5,0,3,49,3,0,13,4,10,9,1,8,0,4,4,8,1,1,4,1,19,3,9,11,6,3,0,0,0,2,0,29,11,271
0,8,3,0,2,0,12,13,2,4,3,0,3,6,22,2,4,7,0,1,2,6,1,0,1,0,2,18,7,3,9,10,69,10,1,13,8,21,17,5,6,2,5,9,3,10,3,5,0,21,3,7,24,9,11,0,0,0,15,2,37,15,474
0,9,5,0,3,1,4,9,3,0,6,0,7,3,10,5,1,3,0,1,4,2,0,1,0,2,0,5,2,2,8,1,19,2,1,8,6,2,10,6,8,1,4,2,3,7,0,5,0,7,3,7,9,12,1,0,0,0,10,2,19,11,253
0,10,2,2,0,1,5,5,3,0,2,0,7,6,7,10,3,7,0,0,3,7,2,2,0,6,2,1,7,1,3,2,6,10,1,5,8,10,12,2,8,2,1,6,5,8,1,2,0,3,3,2,4,6,3,1,0,0,4,0,6,5,220
0,11,5,1,0,1,0,11,12,2,1,0,6,8,10,13,6,1,0,0,0,11,7,2,0,1,2,8,4,1,0,6,2,6,0,9,22,11,10,8,8,3,5,11,11,4,4,6,8,10,6,3,4,11,7,0,1,0,7,3,6,5,310
