day,hour,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32002,B32012,C32010,B32010,B32011,B32016,B32018,B32014,B32015,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32009,D32013,B32009,B32013,D32009,D32003,B32008,D32001,D32000,D32007,D32006,D32005,D32004,B32000,B32003,B32002,B32005,B32004,B32007,B32006,B32017,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,C32008,C32009,A32012,A32011,A32010,D32008,total
0,23,0,0,0,0,6,7,2,0,1,0,1,9,1,4,0,5,0,0,7,3,3,0,0,0,1,0,0,3,2,5,2,0,0,1,9,0,11,2,6,3,0,4,6,2,1,2,2,3,0,0,3,4,0,0,0,0,1,0,5,1,128
1,0,0,0,0,0,1,3,0,0,3,0,0,1,4,2,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,3,0,5,0,4,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,3,0,2,0,46
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,7,2,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,1,0,4,0,0,1,0,1,1,0,0,1,1,0,0,6,0,0,0,0,2,0,0,1,40
1,2,0,0,0,0,1,1,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26
1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
1,5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,19
1,6,0,0,0,0,1,0,0,0,2,0,0,2,8,0,0,2,0,0,0,1,2,0,2,1,0,4,3,1,0,0,8,2,0,1,4,9,7,0,2,0,0,0,2,2,0,0,0,14,2,0,0,1,0,0,0,0,0,0,6,3,92
1,7,0,0,0,0,16,2,0,0,1,0,2,6,11,0,4,2,0,0,3,0,1,1,4,1,5,16,3,0,3,2,71,4,0,6,6,9,11,5,2,0,1,4,9,3,2,2,2,11,0,0,11,8,1,0,0,0,3,0,26,11,291
1,8,0,0,0,0,12,12,3,3,4,0,5,7,13,4,0,8,0,0,6,3,1,2,2,2,1,36,7,2,8,11,60,11,0,23,4,27,15,12,9,1,1,5,11,11,4,3,2,30,0,4,25,4,6,0,0,0,11,0,46,8,485
1,9,0,0,0,0,12,14,2,0,3,0,5,5,4,0,4,4,0,0,4,4,3,2,5,1,2,9,7,1,2,3,11,12,0,17,7,5,19,8,8,0,6,1,4,5,2,1,0,14,0,5,11,2,9,0,0,0,8,0,35,4,290
1,10,0,0,0,0,1,2,3,1,1,0,10,6,2,3,0,9,0,0,4,6,2,3,2,1,7,2,3,3,3,0,6,9,3,6,8,4,17,5,6,5,3,14,2,1,1,1,7,2,0,2,7,15,0,1,0,0,2,0,9,7,217
1,11,0,0,0,0,5,5,9,1,1,0,9,4,5,0,8,6,0,0,2,3,2,3,0,2,1,5,7,4,3,2,12,5,0,6,8,7,17,10,8,2,4,4,1,3,0,1,2,7,0,1,5,15,6,2,0,0,6,0,13,2,234
1,12,0,0,0,0,12,4,12,0,5,0,9,0,3,4,2,5,0,0,3,13,4,3,6,4,5,7,13,3,3,5,6,18,3,11,11,8,16,17,9,5,3,6,4,11,7,2,1,7,0,6,6,18,2,2,0,0,3,0,25,4,336
1,13,0,0,0,0,5,11,10,0,2,0,16,1,4,3,4,15,0,0,5,7,3,4,5,0,0,7,8,3,4,9,10,13,1,7,25,7,26,15,14,8,1,9,12,8,7,3,2,8,0,0,9,11,2,0,0,0,5,0,22,9,360
1,14,0,0,0,0,5,6,2,1,3,0,13,10,6,4,3,7,0,0,3,6,3,4,6,0,1,9,12,1,2,8,7,8,0,10,16,8,31,12,16,4,1,2,9,11,0,1,0,3,2,0,10,11,2,1,0,0,3,0,19,3,305
1,15,0,0,0,0,2,13,3,0,2,0,9,13,9,6,3,8,0,0,1,11,7,10,8,4,2,4,8,9,2,2,8,9,1,8,15,6,15,10,5,11,7,8,13,3,2,2,9,4,0,1,16,11,0,0,0,0,6,0,13,7,326
1,16,0,0,0,0,8,19,18,0,4,0,21,13,10,2,2,9,0,0,1,11,15,9,1,4,6,0,19,9,7,9,6,16,1,18,20,19,24,20,16,31,5,5,8,19,3,1,11,9,1,1,5,19,1,0,0,0,2,0,32,8,498
1,17,0,0,0,0,3,18,30,2,7,0,9,10,12,5,12,10,0,0,8,4,6,12,5,8,5,10,22,5,2,16,10,35,0,27,46,12,43,21,29,15,4,10,6,26,6,1,5,23,0,2,7,14,2,2,0,0,6,0,58,19,650
1,18,0,0,0,0,8,12,5,1,10,0,5,6,11,2,9,10,0,0,3,7,3,7,6,4,7,9,8,1,1,20,7,12,5,7,24,3,32,11,15,4,3,26,9,13,5,4,4,17,4,3,7,12,1,1,0,0,1,0,41,15,441
1,19,0,0,0,0,2,4,9,0,3,0,5,3,2,3,8,4,0,0,5,6,10,1,1,5,5,5,6,3,1,13,5,11,0,11,21,6,25,15,13,5,0,8,10,18,6,0,1,18,0,5,11,10,0,0,0,0,4,0,12,7,326
1,20,0,0,0,0,6,8,3,0,0,0,11,10,4,6,2,3,0,0,3,5,2,1,0,0,4,3,4,5,0,3,1,6,0,2,17,4,17,6,23,1,4,11,3,3,5,0,1,15,3,2,5,2,4,0,0,0,8,1,11,5,243
1,21,0,0,0,0,6,7,1,1,1,0,7,6,3,1,2,1,0,0,10,4,6,3,2,0,1,3,5,2,4,8,1,6,0,2,7,0,5,6,5,1,0,4,6,5,1,1,0,5,2,0,4,4,0,0,0,0,9,0,6,4,168
1,22,0,0,0,0,2,3,4,0,0,0,7,9,3,1,0,0,0,0,5,2,2,2,0,1,1,2,2,4,0,4,4,8,2,2,15,1,12,2,14,2,4,2,0,6,2,0,1,3,0,2,4,1,0,0,0,0,1,0,2,6,150
1,23,0,0,0,0,3,0,0,0,1,0,6,16,4,2,0,7,0,0,0,2,1,0,0,0,0,0,2,7,0,0,0,2,1,0,4,1,11,3,5,4,2,0,0,2,0,0,1,1,0,0,1,5,0,0,0,0,2,0,6,3,105
2,0,0,0,0,0,0,2,0,0,0,0,5,7,0,1,0,0,0,0,0,1,3,1,1,0,0,0,4,0,0,2,0,0,0,0,0,0,4,2,6,1,0,4,0,0,2,0,0,1,0,0,3,2,0,0,0,0,3,0,1,0,56
2,1,0,0,0,0,1,0,0,0,1,0,3,1,4,2,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,31
2,2,0,0,0,0,0,1,0,0,1,0,3,4,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,34
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19
2,6,0,0,0,0,2,4,0,0,1,0,0,5,3,0,2,1,0,0,1,0,1,0,3,0,0,6,4,2,1,0,12,3,0,3,2,8,4,0,2,0,2,1,2,1,0,1,0,10,2,1,2,1,1,0,0,0,2,0,12,6,114
2,7,0,0,0,0,10,1,0,0,0,0,6,4,10,1,1,4,0,0,1,1,3,1,0,1,2,14,3,1,4,7,66,4,0,10,5,7,14,2,4,0,2,4,11,2,0,0,3,14,0,0,6,4,0,0,0,0,6,0,23,10,272
2,8,0,0,0,0,17,13,3,3,6,0,2,16,15,3,0,6,0,0,7,3,6,4,4,1,1,30,9,1,7,7,63,13,1,29,4,20,16,9,13,1,3,8,6,4,2,0,1,36,1,4,35,13,6,0,0,0,13,0,34,18,517
