day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,D32000,D32007,M32027,C32011,C32010,C32013,C32012,C32015,C32014,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,D32003,M32023,M32020,M32021,M32026,D32006,D32005,M32025,D32009,M32029,M32024,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32009,B32008,M32009,M32005,B32003,B32002,B32005,M32001,M32002,B32006,B32013,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,A32017,B32000,M32006,M32007,B32004,B32007,M32003,total
0,0,1,0,0,16,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,2,0,0,7,1,4,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,3,1,1,0,0,0,0,4,2,0,1,1,0,0,2,4,2,0,0,0,92
0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,1,0,4,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,42
0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,23
0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6
0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,51
0,6,2,0,2,0,0,0,0,2,2,0,9,0,0,0,1,0,1,0,1,0,6,1,0,0,30,0,0,0,0,0,6,10,0,5,10,10,0,0,0,0,1,0,14,0,0,0,0,1,6,6,4,1,0,0,0,1,2,6,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,11,1,0,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,0,2,6,0,2,0,3,0,0,1,3,1,1,3,0,3,0,0,0,2,1,1,2,0,2,0,8,0,4,6,1,0,219
0,7,4,0,6,1,0,1,3,4,2,4,15,4,1,1,3,0,1,0,2,0,19,12,18,0,60,0,0,0,0,0,27,15,5,14,5,8,1,0,0,3,7,0,41,0,0,0,5,2,14,16,5,2,2,0,1,8,11,7,0,0,5,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,20,0,2,0,0,30,5,0,2,0,2,4,3,0,0,0,5,2,10,0,0,3,0,0,4,3,1,0,5,3,0,0,4,9,4,3,2,2,16,0,0,5,7,11,10,0,2,4,6,7,5,1,12,2,2,589
0,8,7,1,7,4,2,5,3,5,6,4,23,6,5,3,4,1,7,2,4,0,29,25,18,0,51,0,0,0,0,0,40,12,3,35,13,13,10,0,0,4,16,2,53,0,0,0,9,7,24,19,21,11,6,0,0,9,10,14,0,0,6,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,48,0,4,0,0,26,2,0,8,0,4,8,2,7,0,0,10,8,33,1,3,11,0,0,11,20,8,1,10,10,0,5,4,14,6,7,3,4,24,1,5,4,16,26,26,1,1,20,15,20,3,3,19,4,3,1036
0,9,5,0,8,2,2,3,2,6,4,6,12,4,6,5,3,3,3,3,3,0,15,9,0,0,22,0,0,0,0,0,20,9,7,15,13,5,1,0,0,9,6,1,32,0,0,0,8,4,16,1,7,3,5,0,4,6,7,14,0,1,5,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,18,2,2,1,0,9,4,0,2,0,1,8,3,13,1,0,16,5,13,1,6,10,0,0,6,4,6,0,6,13,2,2,15,8,10,9,2,0,12,2,9,10,21,11,9,5,4,7,8,11,6,9,12,3,3,674
