day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,D32002,D32021,D32020,D32023,D32022,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,A32017,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,C32011,C32010,C32013,C32015,D32005,D32003,M32023,M32020,D32000,D32007,D32006,M32024,D32004,D32009,D32008,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,K32002,K32003,K32001,B32009,B32008,M32009,M32005,B32003,M32007,B32005,B32004,M32002,B32006,B32013,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,B32002,M32001,B32007,M32003,C32014,total
0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,3,2,0,0,0,0,0,0,0,6,0,2,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,0,0,0,50
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,1,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,34
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19
0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,5,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,6,0,0,3,1,0,0,6,1,2,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,54
0,6,0,0,0,0,0,0,0,2,5,1,4,0,1,2,0,0,0,0,0,8,0,0,1,0,5,8,12,0,10,7,10,3,0,7,0,8,0,21,3,0,3,10,17,14,4,0,0,0,1,0,0,0,0,9,32,0,0,8,1,4,0,0,0,2,1,1,0,0,0,4,3,5,0,0,0,0,0,4,0,6,0,1,4,0,2,4,0,0,2,0,1,0,2,1,0,0,5,0,2,0,3,0,0,2,0,276
0,7,0,1,5,0,0,1,2,4,2,2,35,2,2,1,0,0,0,0,0,16,0,0,2,0,4,27,20,7,26,5,12,5,0,10,4,8,0,57,4,9,6,26,23,16,5,0,7,0,3,0,2,0,0,12,110,0,0,12,6,29,0,5,4,13,5,3,0,0,0,6,8,13,1,2,7,5,0,7,9,7,1,0,3,0,6,10,0,1,4,2,3,0,8,1,0,3,2,0,3,3,9,0,2,1,0,687
0,8,0,2,7,16,3,0,0,5,8,3,37,5,4,3,0,0,3,0,0,38,0,0,2,0,11,39,24,5,44,23,10,6,0,14,13,24,4,74,7,7,5,20,23,30,14,10,9,0,9,0,11,0,0,20,144,0,0,21,7,30,0,18,16,25,7,5,0,1,0,14,12,11,6,12,11,3,1,17,3,11,5,3,2,0,15,33,0,8,9,2,11,0,6,7,0,3,3,0,10,2,8,0,3,2,0,1099
0,9,0,3,3,5,0,1,0,3,0,4,3,2,2,1,0,0,1,0,0,9,0,0,1,0,7,15,10,7,19,9,6,10,0,7,8,10,1,36,3,9,5,17,4,6,13,5,3,3,3,0,0,0,0,14,29,0,0,19,10,15,0,15,9,15,9,1,0,0,0,10,6,7,0,6,7,0,0,12,0,10,10,0,4,0,14,11,0,3,0,3,3,0,3,9,0,1,2,0,11,3,3,0,5,2,0,535
0,10,0,2,3,11,5,4,0,8,1,1,6,1,1,0,0,0,1,0,0,2,0,0,0,0,1,6,8,2,2,1,4,0,2,5,3,7,2,14,3,10,12,8,9,8,4,9,5,8,1,0,3,0,0,13,13,0,0,4,6,6,0,13,4,4,12,2,0,3,0,8,5,5,1,0,8,1,0,3,4,12,12,0,1,0,9,8,0,3,4,1,4,0,1,0,0,3,4,0,11,6,1,0,3,0,0,381
0,11,0,3,3,2,4,2,1,1,4,4,10,5,1,0,0,0,0,0,0,5,0,0,0,0,4,1,6,1,6,8,2,7,1,13,4,1,2,15,1,12,4,11,3,8,6,7,6,3,0,0,11,0,0,23,10,0,0,5,19,4,0,4,9,11,6,1,0,4,0,10,4,8,1,8,4,2,2,3,3,10,8,4,9,0,12,5,0,0,1,1,5,0,4,4,0,1,5,0,5,3,3,0,2,1,0,412
0,12,0,8,2,10,6,5,0,6,2,1,4,2,0,1,0,0,0,0,0,7,0,0,1,0,1,8,2,3,8,9,7,5,6,9,3,5,2,26,2,12,5,14,8,9,10,18,9,2,1,2,10,0,0,30,13,0,0,6,10,13,0,7,9,2,9,2,0,4,0,13,8,23,2,6,7,0,0,8,4,15,9,9,14,0,8,8,0,3,4,1,11,0,4,2,0,3,7,0,10,7,6,0,2,3,0,553
0,13,0,6,1,8,5,3,1,1,9,1,7,0,2,0,0,0,1,0,0,3,0,0,1,0,2,4,7,0,9,4,5,2,0,14,3,4,2,10,3,21,3,20,9,9,5,17,12,2,5,1,11,0,0,16,8,0,0,8,23,9,0,16,10,14,5,2,0,1,0,7,4,14,2,5,9,1,4,5,4,8,6,6,4,0,7,4,0,2,4,2,29,0,5,4,0,10,3,0,10,6,4,0,4,3,0,521
0,14,0,5,1,7,3,5,0,2,0,2,5,0,6,0,0,0,1,0,0,6,0,0,1,0,1,4,2,6,13,10,5,7,1,9,4,6,2,18,3,16,2,6,7,10,7,9,23,3,4,0,7,0,0,19,6,0,0,6,16,14,0,7,12,7,9,5,0,5,0,17,5,11,3,11,8,2,0,3,2,6,7,3,5,0,15,9,0,0,3,3,13,0,4,5,0,3,5,0,9,12,3,0,4,3,0,509
0,15,0,4,2,6,10,8,0,6,5,2,2,1,3,1,0,0,1,0,0,7,0,0,2,0,1,7,3,0,10,13,2,1,1,17,8,6,7,12,3,13,9,12,9,6,10,16,15,2,7,1,9,0,0,23,12,0,0,10,14,8,0,9,12,10,4,4,0,11,0,3,7,12,1,8,7,3,0,0,10,10,11,4,15,0,8,21,0,5,9,3,18,0,6,3,0,2,7,0,13,8,3,0,5,2,0,581
0,16,0,10,4,12,10,21,0,7,3,1,7,2,0,0,0,0,2,0,0,6,0,0,1,0,7,14,5,0,1,22,2,7,2,22,1,6,6,43,3,10,15,10,13,9,11,43,22,1,5,2,38,0,0,18,15,0,0,5,27,20,0,25,8,17,13,4,0,8,0,24,14,11,0,7,11,0,4,4,8,15,21,21,21,0,8,16,0,13,18,3,11,0,7,3,0,4,10,0,22,15,9,0,12,11,0,889
0,17,0,14,2,13,17,25,0,5,10,3,7,5,6,1,0,0,2,0,0,22,0,0,0,0,10,26,6,9,13,30,11,4,7,25,6,5,12,112,2,22,16,31,15,9,24,72,27,10,10,1,47,0,0,39,28,0,0,28,41,16,0,37,18,58,13,19,0,10,0,23,7,10,1,27,23,3,7,5,5,43,17,15,34,0,24,24,0,22,20,12,27,0,5,11,0,6,21,0,22,39,12,0,26,16,0,1508
0,18,0,10,0,10,22,12,1,7,4,7,11,2,1,1,0,0,0,0,0,18,0,0,1,0,11,38,9,3,19,23,16,2,4,38,10,15,1,81,2,24,12,51,20,19,15,38,25,10,17,0,24,0,0,37,16,0,0,24,16,13,0,24,17,15,14,10,0,6,0,15,17,16,1,6,18,9,3,9,9,16,3,5,26,0,7,14,0,5,10,10,23,0,9,11,0,10,11,0,19,10,12,0,21,2,0,1153
0,19,0,3,2,11,20,10,3,6,4,3,5,1,1,2,0,0,0,0,0,9,0,0,1,0,4,29,16,1,13,16,3,5,0,19,10,10,2,35,8,12,8,24,25,19,14,22,16,3,10,6,10,0,0,25,23,0,0,17,28,20,0,17,7,17,3,6,0,3,0,14,15,18,5,6,14,2,0,5,5,11,7,6,5,0,10,14,0,8,5,4,16,0,7,9,0,11,7,0,17,13,3,0,2,6,0,832
0,20,0,4,4,14,9,7,1,4,2,4,5,0,0,1,0,0,0,0,0,6,0,0,0,0,0,13,3,2,6,6,2,1,2,14,2,6,2,22,3,13,0,20,14,10,0,14,13,4,7,1,3,0,0,21,3,0,0,12,11,12,0,4,8,7,6,1,0,7,0,9,9,8,3,1,4,0,3,5,1,11,9,7,11,0,9,9,0,1,3,4,10,0,5,4,0,5,4,0,15,8,1,0,3,3,0,501
0,21,0,4,2,6,5,3,0,3,0,3,4,0,0,0,0,0,0,0,0,7,0,0,3,0,5,9,3,0,3,10,1,2,1,4,3,2,1,11,0,6,5,7,3,15,5,0,2,1,1,0,3,0,0,16,5,0,0,6,4,3,0,0,6,2,4,1,0,2,0,10,5,9,1,4,6,1,0,3,1,7,11,6,2,0,8,9,0,5,0,2,9,0,3,7,0,0,6,0,9,10,2,0,4,2,0,334
0,22,0,1,1,4,7,2,0,1,1,2,4,1,1,0,0,0,0,0,0,2,0,0,0,0,2,3,7,1,3,0,1,1,0,4,0,3,0,10,1,5,2,4,3,14,3,0,2,1,3,1,4,0,0,7,3,0,0,4,2,4,0,0,5,1,3,0,0,2,0,17,12,2,0,3,6,2,0,1,3,0,5,2,2,0,4,4,0,0,1,0,8,0,4,7,0,2,2,0,8,5,4,0,3,3,0,246
0,23,0,1,0,1,0,1,0,0,0,1,5,2,1,1,0,0,0,0,0,1,0,0,0,0,2,1,4,0,1,2,1,0,0,0,0,10,0,3,0,3,2,2,6,5,2,0,0,0,0,0,0,0,0,7,0,0,0,0,5,1,0,0,7,2,6,1,0,2,0,1,0,2,0,1,5,0,0,2,1,2,1,4,0,0,0,0,0,1,5,0,2,0,2,2,0,1,1,0,3,1,1,0,1,1,0,129
