day,hour,C32004,M32032,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,S32002,S32003,B32020,S32006,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,A32019,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,M32020,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,M32025,E32004,E32005,E32006,E32001,E32002,E32003,M32038,D32003,M32023,D32001,D32000,M32026,M32027,M32024,D32004,D32009,D32008,C32020,C32021,C32022,C32023,M32031,M32030,B32018,B32019,M32034,M32037,B32012,B32013,B32010,B32011,B32016,B32017,B32014,B32015,S32001,K32002,K32003,K32001,K32004,B32008,M32009,B32000,M32006,M32007,B32005,M32001,M32002,M32003,M32029,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,M32005,B32003,B32002,B32004,B32007,B32006,C32014,total
0,10,12,0,6,0,4,4,5,2,3,8,0,9,4,7,1,5,3,5,4,2,7,8,4,1,14,1,5,6,5,6,9,8,2,6,6,5,0,4,0,3,15,1,17,3,1,2,3,6,5,14,9,3,3,2,1,5,4,2,12,6,5,1,1,0,15,1,7,0,2,10,1,0,3,3,3,6,4,5,1,2,15,8,3,7,6,4,3,1,1,3,0,1,2,7,0,0,4,0,1,13,12,15,2,3,14,7,1,5,0,6,4,7,8,14,10,6,6,7,0,6,9,10,14,17,11,12,2,4,11,4,4,5,9,4,2,1,699
0,11,4,0,5,9,0,8,3,3,2,8,4,9,9,4,0,8,9,3,8,1,8,8,5,4,13,0,15,7,0,5,12,10,2,8,13,0,2,4,11,3,7,0,12,4,0,3,0,15,4,18,10,11,10,11,4,13,7,10,16,4,11,1,3,1,11,2,1,0,1,1,1,2,2,3,3,3,5,5,1,1,15,4,7,4,10,7,6,2,2,1,4,0,2,8,3,0,20,3,1,6,7,19,1,10,3,1,6,4,11,5,10,28,6,17,4,15,6,12,6,7,8,16,9,8,10,9,6,4,10,15,7,7,11,5,1,0,853
0,12,11,1,9,1,5,7,11,7,7,7,5,10,4,10,2,6,5,4,0,4,8,20,13,3,13,7,6,3,0,6,17,10,1,2,7,4,2,7,17,2,9,6,26,5,2,1,2,13,12,15,12,9,18,15,6,11,7,4,16,9,26,4,5,1,20,0,11,0,0,8,0,2,3,3,0,3,13,11,8,3,9,6,2,5,14,5,8,2,1,3,5,0,4,8,4,0,16,1,4,20,14,24,0,8,15,1,4,6,18,2,13,13,16,39,11,6,8,21,17,8,12,26,8,13,13,14,8,11,6,10,4,8,10,8,4,1,1100
0,13,10,3,11,1,6,5,13,12,6,4,4,7,5,8,6,8,5,4,1,1,9,10,4,4,8,2,16,7,0,8,16,9,1,1,13,0,4,7,12,3,7,0,29,3,1,0,2,15,11,24,18,2,14,11,6,9,14,10,26,10,10,1,3,1,16,4,6,0,0,6,4,8,5,2,3,3,4,9,4,0,23,10,8,7,5,8,11,0,2,0,5,0,3,15,4,0,16,9,4,22,6,13,2,5,15,1,2,7,13,1,11,23,14,50,4,9,6,19,10,10,13,27,8,19,9,10,20,6,11,15,9,3,4,3,5,2,1092
0,14,9,0,17,3,7,7,9,5,2,1,11,2,9,3,0,14,3,0,3,0,10,16,5,4,13,13,7,7,2,5,18,7,2,0,12,6,1,1,14,3,7,7,30,3,1,1,2,12,2,25,24,1,12,13,4,13,5,5,14,22,9,3,0,0,30,4,4,1,0,7,0,4,3,6,0,5,7,11,11,1,15,1,3,9,9,17,10,1,3,0,4,0,2,20,5,0,19,1,4,17,16,26,1,7,17,3,0,3,7,4,19,19,16,33,7,11,12,4,21,6,18,36,4,9,20,8,11,2,11,22,7,4,18,2,6,0,1110
0,15,6,4,11,8,2,7,13,12,1,5,8,11,1,4,4,4,1,1,2,2,7,12,3,6,9,2,13,5,1,14,11,4,1,7,16,6,2,3,18,0,7,4,10,1,0,0,0,12,6,18,14,9,9,4,4,14,5,5,18,12,8,5,2,2,20,3,4,0,0,4,0,0,0,5,2,3,3,9,5,1,32,7,6,0,5,12,4,0,4,1,9,5,3,8,7,0,16,12,10,14,16,29,0,15,9,2,5,1,11,8,15,14,15,44,6,20,10,12,13,4,6,21,6,9,17,6,14,14,9,25,18,2,22,13,9,3,1073
0,16,5,2,7,24,1,15,16,21,5,12,6,1,0,5,8,8,3,3,2,5,12,33,5,11,11,10,23,7,0,21,9,10,6,8,32,3,2,1,15,4,9,6,37,2,1,2,1,21,9,29,14,12,34,16,13,24,14,11,33,11,35,2,0,2,20,1,4,0,0,6,1,2,3,8,1,3,6,9,12,9,29,10,11,6,16,7,19,5,2,2,8,0,4,21,16,0,38,13,12,17,11,21,1,17,18,0,5,2,2,3,17,20,8,65,10,15,7,23,20,7,26,26,10,2,11,4,16,20,2,47,21,13,21,6,8,3,1539
0,17,14,8,6,33,8,14,19,21,4,14,9,5,5,5,6,13,7,3,1,2,14,15,4,9,24,29,26,13,1,18,40,11,3,13,29,11,2,9,31,4,6,9,88,3,0,0,5,24,39,23,15,14,54,29,20,21,11,13,51,25,77,2,2,0,41,6,6,1,2,8,2,4,4,0,0,9,2,31,17,2,29,6,20,12,56,32,49,8,14,2,4,1,6,23,9,0,39,13,11,20,14,28,1,41,21,2,3,3,13,1,45,29,6,51,6,24,30,32,31,19,37,29,8,17,27,5,21,15,13,72,17,12,26,30,13,1,2266
0,18,9,3,10,18,1,12,7,27,2,11,8,8,6,7,9,27,5,2,2,0,14,10,14,9,9,11,23,9,0,13,24,13,3,19,32,0,4,6,30,7,8,6,63,7,4,0,3,17,3,45,19,12,37,16,4,21,5,4,26,25,25,4,3,3,44,6,2,1,0,10,0,3,2,5,5,7,2,16,7,1,41,8,16,4,38,6,23,3,11,5,7,0,7,9,1,0,24,11,7,13,9,47,1,11,12,2,4,0,10,4,22,38,23,31,8,22,16,24,20,24,22,20,10,20,41,6,11,23,7,33,20,7,19,13,7,1,1717
0,19,14,0,15,5,10,14,10,8,4,8,7,6,5,7,2,19,3,5,1,2,10,12,16,4,7,6,26,9,1,8,17,7,3,9,33,6,2,6,13,4,7,6,32,3,6,3,2,10,8,20,15,10,20,14,7,16,2,5,18,9,11,1,1,2,20,4,5,0,0,2,1,5,0,0,3,6,7,4,4,1,32,4,6,4,9,6,12,1,2,0,7,2,5,16,3,0,23,3,6,17,16,27,1,8,10,1,1,2,8,2,21,27,17,34,4,20,16,26,18,15,10,30,8,14,39,11,7,12,6,25,12,3,12,7,8,2,1272
