day,hour,B32018,D32021,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,D32003,S32002,S32003,S32001,S32006,S32004,S32005,S32008,S32009,D32002,M32020,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,M32022,M32023,D32001,D32000,M32026,M32027,M32024,M32025,D32009,M32029,X32000,C32024,C32020,C32021,C32022,C32023,M32031,M32030,M32033,M32032,M32034,M32037,M32036,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32008,M32009,M32005,B32003,B32002,B32005,B32004,B32007,M32003,B32013,A32019,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,M32007,M32001,M32002,B32006,C32014,total
0,0,3,0,3,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,4,1,0,0,0,0,0,0,1,6,7,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,2,5,3,2,1,0,0,0,0,0,0,0,0,4,2,3,0,1,0,0,4,1,0,0,0,4,0,2,4,0,2,1,1,1,15,3,0,4,4,0,136
0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4,2,0,0,0,0,2,0,4,0,0,0,0,4,1,0,0,0,0,0,2,1,3,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,5,0,1,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,2,1,0,7,2,0,1,1,0,83
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,9,0,0,1,0,0,33
0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,22
0,5,1,4,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,3,0,3,0,6,3,0,0,0,1,1,0,0,0,0,2,5,2,2,1,0,1,0,2,0,0,2,0,0,2,0,1,0,9,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,3,0,1,0,1,0,0,0,2,1,0,0,0,0,1,7,0,0,0,0,0,0,2,0,1,1,0,4,1,0,0,1,0,0,0,0,0,0,106
0,6,3,4,0,0,1,2,0,0,2,1,4,8,12,5,2,1,2,9,1,2,2,12,2,9,8,46,2,2,1,1,1,9,10,0,7,7,3,5,2,3,0,2,0,19,2,1,3,0,5,0,6,6,8,1,4,2,1,2,1,0,12,3,0,1,0,2,2,0,2,0,0,0,1,0,0,0,1,6,3,0,3,0,0,2,2,0,3,0,0,0,0,2,0,2,0,1,0,4,3,2,2,1,5,4,6,0,3,2,2,2,2,9,1,5,2,0,0,0,5,13,1,0,1,0,6,0,0,1,1,2,10,0,0,2,7,1,8,2,2,0,0,419
0,7,8,14,4,0,2,2,1,3,4,10,4,23,56,9,6,1,4,10,10,5,0,25,5,17,1,83,1,4,12,2,7,50,16,2,25,8,15,6,20,6,16,8,0,50,10,8,5,3,6,5,17,18,26,7,1,12,0,6,1,6,29,0,0,10,0,18,6,13,3,2,13,1,6,4,3,5,4,8,0,0,22,10,7,3,11,1,37,0,3,0,1,0,0,4,12,0,7,4,9,2,4,4,8,4,23,1,4,3,3,13,6,7,13,23,6,0,3,1,16,6,3,3,2,4,28,1,4,8,16,7,26,0,2,13,18,3,11,9,13,2,0,1265
0,8,21,27,6,0,15,18,2,2,11,5,15,21,52,19,39,11,13,16,7,12,3,36,3,18,13,79,11,10,11,6,17,45,29,4,38,22,15,1,9,25,7,24,1,79,15,13,4,14,17,10,27,21,38,12,10,9,2,18,4,23,34,6,3,11,0,18,18,27,3,2,10,5,13,7,9,5,10,16,2,0,35,43,9,19,16,28,27,0,8,1,4,1,0,5,14,2,6,6,19,5,8,4,20,12,18,2,8,10,4,13,16,21,18,25,25,3,1,15,30,44,0,7,2,3,45,4,10,22,40,23,31,3,3,14,7,10,32,16,27,4,0,2102
0,9,8,19,3,1,6,11,4,1,3,7,5,14,9,11,9,7,8,9,7,7,3,10,3,6,0,24,7,0,2,6,8,14,8,1,16,5,14,4,3,12,6,3,0,40,11,5,6,7,16,9,13,5,24,10,6,11,5,14,7,7,15,2,2,2,0,11,14,6,2,1,6,1,4,1,2,2,1,10,5,0,16,12,9,10,9,7,14,0,4,1,4,1,4,5,11,2,1,3,11,2,3,8,21,11,13,1,0,8,5,4,5,7,5,18,29,5,6,14,11,14,4,4,4,6,16,10,12,15,29,16,11,6,5,11,14,6,4,16,8,4,1,1103
0,10,8,9,5,0,5,6,2,3,6,3,4,3,16,2,5,4,8,8,6,2,2,10,5,2,0,9,1,2,4,2,7,9,3,9,6,9,3,0,3,12,1,6,0,10,10,2,0,2,6,2,10,5,3,6,4,13,1,2,9,10,9,4,0,3,0,12,2,1,4,0,4,2,5,3,1,4,3,6,4,0,10,6,3,10,11,3,4,0,3,0,1,1,0,5,8,1,7,4,13,0,4,4,23,6,8,1,2,2,3,1,2,0,3,8,24,7,4,4,13,3,0,8,5,6,3,3,8,16,14,7,20,4,3,10,5,16,4,12,11,2,1,742
0,11,9,8,0,1,2,5,4,3,2,9,6,6,3,1,4,2,3,5,3,2,0,6,6,2,3,7,3,1,5,0,10,8,7,1,9,5,9,4,0,5,9,4,0,11,2,4,0,2,6,11,16,9,7,5,11,4,2,13,11,7,13,9,0,7,0,8,6,4,1,0,8,0,5,6,3,2,3,8,8,0,6,8,10,8,6,5,8,0,1,4,4,2,1,0,7,3,4,4,8,0,9,3,12,6,13,1,4,5,1,3,4,5,4,6,15,12,7,5,12,9,4,4,3,6,12,3,13,9,15,10,6,2,5,14,7,11,4,4,24,2,0,777
