day,hour,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,145,149,150,151,152,total
0,0,0,0,0,2,3,0,2,1,1,0,1,2,3,0,0,0,0,0,0,5,2,0,0,1,0,0,3,0,3,5,0,2,0,0,1,3,0,1,0,0,4,3,1,0,1,1,0,0,2,2,7,1,1,3,2,2,0,0,0,0,0,4,3,1,3,0,0,0,3,3,0,0,3,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,119
0,1,0,0,3,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52
0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0,5,0,0,3,2,0,0,0,0,2,0,4,0,1,0,1,0,0,3,2,2,3,0,6,1,0,0,0,7,2,0,1,6,1,0,0,8,0,0,1,0,2,5,1,0,1,0,0,1,1,0,1,0,4,1,0,9,1,1,0,0,4,3,2,8,0,2,0,0,0,3,1,0,0,1,0,0,0,0,1,0,2,0,0,3,2,2,2,4,0,4,0,8,0,0,1,1,0,4,0,1,0,0,0,0,2,2,2,0,3,0,0,2,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,163
0,6,0,0,11,7,3,0,4,2,0,1,11,3,1,0,18,8,4,9,8,32,8,1,12,14,1,1,4,9,6,4,5,13,4,11,14,13,3,3,9,4,5,3,13,1,3,1,6,6,12,8,8,0,6,12,2,19,2,3,5,0,11,5,2,6,0,3,2,4,0,3,1,1,2,3,0,1,3,0,5,10,3,8,2,1,0,0,1,8,4,4,8,10,1,1,1,5,5,1,0,0,0,59,0,1,6,2,2,9,2,1,2,1,8,4,4,6,7,2,1,0,3,3,0,0,0,6,0,0,0,3,7,1,0,0,1,1,1,0,1,3,648
0,7,0,2,30,7,8,0,5,5,0,1,11,10,1,3,32,24,7,24,17,51,14,6,20,24,5,0,2,5,7,10,11,22,1,79,30,36,11,7,36,7,6,24,29,3,5,12,4,16,24,8,20,0,21,14,9,27,19,14,1,1,19,19,15,24,6,13,8,0,3,16,17,3,12,9,4,5,26,2,7,8,13,30,7,16,8,0,7,18,10,5,7,26,17,5,8,12,12,13,2,3,7,91,0,3,7,11,18,43,11,1,9,8,9,23,6,5,4,11,3,1,15,3,2,5,7,5,0,0,1,1,11,7,3,3,13,4,8,6,7,10,1645
0,8,0,12,27,14,41,1,15,16,4,10,13,30,5,6,64,18,15,15,28,97,31,13,22,37,6,3,12,16,11,24,7,33,0,47,29,28,45,11,33,16,30,22,21,9,22,8,12,17,23,16,16,2,14,32,20,35,29,11,6,7,14,28,49,25,3,12,22,8,16,33,32,8,21,26,1,16,14,8,12,19,38,32,9,26,23,0,1,6,25,25,8,24,31,7,6,21,14,16,5,7,10,102,6,2,14,27,22,24,32,8,30,16,18,30,8,4,8,18,5,1,17,1,14,4,8,8,1,2,3,0,24,10,8,8,14,1,11,9,22,30,2478
