day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,D32002,D32021,D32020,D32023,D32022,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,A32017,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,C32011,C32010,C32013,C32015,D32005,D32003,M32023,M32020,D32000,D32007,D32006,M32024,D32004,D32009,D32008,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,K32002,K32003,K32001,B32009,B32008,M32009,M32005,B32003,M32007,B32005,B32004,M32002,B32006,B32013,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,B32002,M32001,B32007,M32003,C32014,total
0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,3,0,5,0,2,0,0,0,5,1,0,0,0,0,0,1,0,0,6,2,0,0,0,8,1,0,0,2,1,1,0,0,0,0,1,5,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,72
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,23
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,0,9,0,0,0,0,1,0,0,0,0,1,6,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43
0,6,0,0,1,1,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,7,4,7,1,4,1,4,0,0,3,0,0,0,13,0,1,0,4,9,8,0,2,1,0,0,0,2,0,0,1,31,0,0,4,0,6,0,1,0,4,1,3,0,0,0,0,0,5,0,0,1,0,0,0,2,1,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,162
0,7,0,2,6,1,2,1,2,2,1,0,17,0,0,0,0,0,0,0,0,24,0,0,0,0,2,17,10,5,8,7,19,1,0,7,9,6,0,43,0,4,2,18,16,15,1,1,4,1,0,0,3,0,0,4,81,0,0,3,6,21,0,1,8,14,3,3,0,1,0,3,3,15,1,0,1,0,0,0,0,7,0,0,3,0,5,8,0,0,2,0,0,0,0,0,0,0,0,0,6,0,5,0,1,0,0,462
0,8,0,1,8,6,0,5,2,3,4,0,28,0,0,0,0,0,0,0,0,20,0,0,0,0,4,37,28,6,45,8,14,4,0,11,13,17,1,52,0,7,5,20,10,24,8,2,9,0,0,0,6,0,0,3,130,0,0,11,5,33,0,6,8,20,3,4,0,11,0,3,13,18,1,5,7,0,0,0,4,10,0,0,2,0,11,32,0,8,2,0,0,0,0,0,0,0,0,0,5,0,6,0,4,0,0,773
0,9,0,2,4,1,1,1,0,2,1,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,5,10,5,5,13,5,5,2,0,7,6,11,0,19,0,6,3,5,12,17,8,4,2,5,0,0,3,0,0,7,18,0,0,20,11,11,0,10,2,10,3,0,0,2,0,6,7,5,0,4,14,0,0,0,2,4,0,0,3,0,10,10,0,2,4,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,360
