day,hour,1,10,140,141,142,143,145,29,46,176,177,178,179,180,67,68,70,15,72,73,74,75,76,80,84,87,88,89,90,91,95,96,97,104,105,107,108,110,115,116,117,118,total
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,20
0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,9
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,8
0,6,0,0,0,0,0,3,1,0,0,0,0,2,2,0,1,0,1,0,0,0,1,1,0,0,0,1,0,3,1,0,0,1,0,1,2,0,0,0,5,6,1,0,33
0,7,0,0,0,0,3,11,0,0,0,2,0,1,5,0,0,10,0,0,4,0,2,5,3,1,1,2,11,0,8,1,6,7,0,0,4,0,2,0,21,11,3,1,125
0,8,0,0,3,0,2,4,3,0,0,2,8,8,21,0,15,16,6,0,6,3,8,2,11,5,2,25,46,2,6,4,20,11,2,7,13,1,5,0,8,24,9,7,315
0,9,0,0,0,0,0,8,2,0,0,1,0,10,13,2,7,12,0,0,5,5,3,4,9,4,3,18,23,3,10,2,10,6,4,3,5,4,6,4,4,10,4,6,210
0,10,0,0,3,1,2,0,1,0,0,1,6,7,18,0,5,12,1,0,3,2,4,1,6,0,2,9,9,2,0,5,8,7,2,7,5,0,6,1,1,7,1,2,147
0,11,0,0,0,2,2,0,0,0,0,0,2,8,1,0,21,9,4,0,5,3,4,1,8,6,1,11,1,2,7,6,3,6,8,3,4,5,3,11,7,6,1,1,162
0,12,0,0,1,2,2,0,1,0,0,1,4,4,7,0,15,8,3,0,6,7,6,7,7,8,7,3,5,0,3,4,8,1,2,1,3,3,8,4,1,2,1,3,148
0,13,0,0,2,2,0,0,1,1,0,1,1,1,10,0,15,9,6,0,9,7,2,4,5,9,5,9,9,0,4,4,4,2,1,5,6,2,3,5,1,4,0,1,150
0,14,0,0,1,3,2,0,1,0,0,0,2,5,3,0,12,6,6,0,14,2,15,0,3,18,4,4,4,1,1,3,5,3,2,1,4,4,3,1,1,2,0,2,138
0,15,0,0,3,1,1,1,0,0,0,0,4,3,3,2,24,10,7,0,4,7,8,5,1,12,5,8,4,3,2,7,3,1,0,1,5,11,3,3,1,4,2,3,162
0,16,0,0,1,3,3,1,0,0,1,1,5,6,4,5,21,6,6,0,20,10,6,4,4,20,3,4,1,3,6,15,1,6,3,2,5,15,9,4,6,4,8,1,223
0,17,2,1,2,5,7,1,0,0,4,2,8,9,9,0,21,21,2,1,10,7,4,3,10,26,5,7,4,3,5,10,2,5,4,3,7,19,10,9,1,5,7,0,261
