day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,D32000,D32007,M32027,C32011,C32010,C32013,C32012,C32015,C32014,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,D32003,M32023,M32020,M32021,M32026,D32006,D32005,M32025,D32009,M32029,M32024,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32009,B32008,M32009,M32005,B32003,B32002,B32005,M32001,M32002,B32006,B32013,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,A32017,B32000,M32006,M32007,B32004,B32007,M32003,total
0,0,4,1,1,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,1,1,3,0,0,3,0,0,2,4,0,0,0,1,3,4,2,3,2,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6,1,0,4,0,0,1,4,2,0,4,0,0,5,3,5,0,0,0,0,1,1,2,0,0,0,12,2,3,2,2,0,1,1,2,2,0,8,0,2,3,0,9,2,1,1,4,7,1,0,0,1,170
0,1,0,0,0,1,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,6,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,4,2,0,1,1,4,1,0,5,1,3,0,0,2,0,0,0,0,3,0,1,7,3,1,0,1,0,1,0,0,0,0,3,1,4,5,2,1,1,1,0,0,7,0,0,0,0,102
0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,2,1,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,2,0,0,0,0,5,0,0,2,0,2,0,0,0,0,1,0,0,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,1,1,1,0,0,61
0,3,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,44
0,4,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,32
0,5,2,0,0,1,1,0,0,0,2,1,2,0,0,0,1,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,6,2,0,2,0,12,0,0,3,0,2,0,2,0,0,0,0,1,2,0,0,1,0,2,0,2,7,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,2,2,0,1,0,1,0,1,0,0,3,1,0,8,0,0,1,0,1,0,1,0,0,1,2,3,0,1,4,0,0,1,0,0,0,2,2,1,1,1,0,1,6,0,4,2,0,1,0,0,128
0,6,5,0,2,0,0,0,0,1,1,2,20,0,1,1,1,1,5,1,0,0,10,8,9,4,45,0,0,0,0,1,17,10,2,7,2,16,2,0,5,0,1,0,22,3,2,0,1,2,14,12,9,2,1,0,0,4,12,1,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,5,3,0,4,1,7,0,2,0,1,5,0,8,0,0,3,0,3,4,6,1,0,6,3,0,0,5,4,2,0,2,2,6,0,3,3,3,5,4,1,1,3,5,5,1,2,7,1,1,421
0,7,10,1,5,5,2,3,1,10,2,3,25,8,25,11,2,0,3,9,3,1,27,21,29,6,93,2,2,0,0,4,50,21,7,19,12,26,4,0,8,9,10,0,72,7,4,0,14,3,37,13,27,7,3,9,0,9,25,6,7,0,9,0,5,1,0,0,0,0,0,4,1,0,0,0,1,1,60,0,3,0,8,41,7,8,5,20,10,9,8,5,4,5,10,12,22,2,3,9,0,4,5,16,14,0,9,12,2,2,14,23,5,10,2,2,20,4,5,17,24,2,25,2,2,17,19,16,7,9,17,1,4,1306
0,8,26,5,11,10,0,2,7,18,6,13,30,8,18,8,9,2,20,3,3,9,38,37,25,9,106,0,2,0,2,27,69,31,7,41,26,21,12,0,31,11,19,1,83,11,15,0,14,12,52,42,46,20,10,14,2,21,36,10,8,2,9,2,14,4,0,0,2,0,1,13,0,0,0,1,0,0,60,2,7,6,32,44,31,10,26,20,5,20,9,20,6,10,27,14,40,3,13,11,0,28,12,27,14,0,6,26,3,4,11,25,24,19,15,1,29,6,19,18,24,52,48,8,5,38,22,21,13,19,56,1,8,2185
0,9,16,3,3,10,5,5,3,14,5,10,9,14,5,4,6,6,9,10,2,5,15,8,9,2,47,0,2,0,0,12,30,8,6,5,11,8,2,1,9,8,8,0,30,8,4,0,5,4,26,8,9,8,12,9,1,6,23,11,2,2,8,1,2,2,0,0,0,0,0,14,0,0,0,1,1,0,21,4,4,7,11,22,20,5,6,14,16,13,6,18,4,7,34,15,22,3,4,9,1,11,7,13,11,0,10,19,2,4,7,16,12,17,1,4,18,4,10,13,24,43,9,4,10,6,14,17,28,18,15,1,8,1174
